Epoch 1: pi_loss 3.8580, v_loss 1.0190
Epoch 2: pi_loss 3.0687, v_loss 0.9629
Epoch 3: pi_loss 2.5384, v_loss 0.8713
Epoch 4: pi_loss 2.3616, v_loss 0.7483
Epoch 5: pi_loss 2.2791, v_loss 0.6176
Epoch 6: pi_loss 2.2145, v_loss 0.4962
Epoch 7: pi_loss 2.1593, v_loss 0.4046
Epoch 8: pi_loss 2.1173, v_loss 0.3444
Epoch 9: pi_loss 2.0873, v_loss 0.3006
Epoch 10: pi_loss 2.0667, v_loss 0.2608
Epoch 1: pi_loss 3.7899, v_loss 0.9963
Epoch 2: pi_loss 2.9828, v_loss 0.8322
Epoch 3: pi_loss 2.5421, v_loss 0.7135
Epoch 4: pi_loss 2.3814, v_loss 0.5907
Epoch 5: pi_loss 2.2930, v_loss 0.4858
Epoch 6: pi_loss 2.2264, v_loss 0.4116
Epoch 7: pi_loss 2.1718, v_loss 0.3558
Epoch 8: pi_loss 2.1336, v_loss 0.3166
Epoch 9: pi_loss 2.1051, v_loss 0.2812
Epoch 10: pi_loss 2.0833, v_loss 0.2577
Epoch 1: pi_loss 3.7740, v_loss 1.0268
Epoch 2: pi_loss 2.9817, v_loss 0.8636
Epoch 3: pi_loss 2.5748, v_loss 0.7139
Epoch 4: pi_loss 2.3963, v_loss 0.5880
Epoch 5: pi_loss 2.2917, v_loss 0.4837
Epoch 6: pi_loss 2.2209, v_loss 0.4021
Epoch 7: pi_loss 2.1668, v_loss 0.3448
Epoch 8: pi_loss 2.1223, v_loss 0.2920
Epoch 9: pi_loss 2.0936, v_loss 0.2626
Epoch 10: pi_loss 2.0680, v_loss 0.2376
Epoch 1: pi_loss 2.0207, v_loss 0.5695
Epoch 2: pi_loss 1.9516, v_loss 0.3982
Epoch 3: pi_loss 1.9065, v_loss 0.3257
Epoch 4: pi_loss 1.8737, v_loss 0.2882
Epoch 5: pi_loss 1.8376, v_loss 0.2656
Epoch 6: pi_loss 1.8081, v_loss 0.2476
Epoch 7: pi_loss 1.7731, v_loss 0.2327
Epoch 8: pi_loss 1.7375, v_loss 0.2241
Epoch 9: pi_loss 1.7012, v_loss 0.2140
Epoch 10: pi_loss 1.6622, v_loss 0.2080
Epoch 1: pi_loss 1.9690, v_loss 0.6744
Epoch 2: pi_loss 1.8771, v_loss 0.4895
Epoch 3: pi_loss 1.8248, v_loss 0.3956
Epoch 4: pi_loss 1.7789, v_loss 0.3455
Epoch 5: pi_loss 1.7335, v_loss 0.3146
Epoch 6: pi_loss 1.6901, v_loss 0.2958
Epoch 7: pi_loss 1.6382, v_loss 0.2792
Epoch 8: pi_loss 1.5855, v_loss 0.2670
Epoch 9: pi_loss 1.5270, v_loss 0.2585
Epoch 10: pi_loss 1.4676, v_loss 0.2523
Epoch 1: pi_loss 1.5332, v_loss 0.3889
Epoch 2: pi_loss 1.4237, v_loss 0.3107
Epoch 3: pi_loss 1.3410, v_loss 0.2882
Epoch 4: pi_loss 1.2766, v_loss 0.2776
Epoch 5: pi_loss 1.2244, v_loss 0.2700
Epoch 6: pi_loss 1.1878, v_loss 0.2665
Epoch 7: pi_loss 1.1576, v_loss 0.2608
Epoch 8: pi_loss 1.1341, v_loss 0.2583
Epoch 9: pi_loss 1.1157, v_loss 0.2567
Epoch 10: pi_loss 1.0998, v_loss 0.2545
Epoch 1: pi_loss 1.2486, v_loss 0.3629
Epoch 2: pi_loss 1.1315, v_loss 0.2980
Epoch 3: pi_loss 1.0773, v_loss 0.2820
Epoch 4: pi_loss 1.0446, v_loss 0.2757
Epoch 5: pi_loss 1.0226, v_loss 0.2706
Epoch 6: pi_loss 1.0074, v_loss 0.2683
Epoch 7: pi_loss 0.9925, v_loss 0.2654
Epoch 8: pi_loss 0.9824, v_loss 0.2629
Epoch 9: pi_loss 0.9713, v_loss 0.2607
Epoch 10: pi_loss 0.9641, v_loss 0.2604
Epoch 1: pi_loss 1.1242, v_loss 0.3549
Epoch 2: pi_loss 1.0255, v_loss 0.2916
Epoch 3: pi_loss 0.9831, v_loss 0.2780
Epoch 4: pi_loss 0.9600, v_loss 0.2725
Epoch 5: pi_loss 0.9421, v_loss 0.2689
Epoch 6: pi_loss 0.9297, v_loss 0.2667
Epoch 7: pi_loss 0.9198, v_loss 0.2656
Epoch 8: pi_loss 0.9128, v_loss 0.2629
Epoch 9: pi_loss 0.9053, v_loss 0.2622
Epoch 10: pi_loss 0.8994, v_loss 0.2602
Epoch 1: pi_loss 1.0469, v_loss 0.3355
Epoch 2: pi_loss 0.9422, v_loss 0.2861
Epoch 3: pi_loss 0.9051, v_loss 0.2724
Epoch 4: pi_loss 0.8865, v_loss 0.2677
Epoch 5: pi_loss 0.8734, v_loss 0.2634
Epoch 6: pi_loss 0.8653, v_loss 0.2628
Epoch 7: pi_loss 0.8577, v_loss 0.2606
Epoch 8: pi_loss 0.8525, v_loss 0.2606
Epoch 9: pi_loss 0.8473, v_loss 0.2592
Epoch 10: pi_loss 0.8422, v_loss 0.2578
Epoch 1: pi_loss 1.1356, v_loss 0.3991
Epoch 2: pi_loss 0.9909, v_loss 0.3150
Epoch 3: pi_loss 0.9261, v_loss 0.2945
Epoch 4: pi_loss 0.8926, v_loss 0.2858
Epoch 5: pi_loss 0.8726, v_loss 0.2815
Epoch 6: pi_loss 0.8586, v_loss 0.2777
Epoch 7: pi_loss 0.8483, v_loss 0.2744
Epoch 8: pi_loss 0.8405, v_loss 0.2736
Epoch 9: pi_loss 0.8333, v_loss 0.2716
Epoch 10: pi_loss 0.8275, v_loss 0.2704
Epoch 1: pi_loss 1.1943, v_loss 0.4521
Epoch 2: pi_loss 1.0301, v_loss 0.3420
Epoch 3: pi_loss 0.9458, v_loss 0.3145
Epoch 4: pi_loss 0.9004, v_loss 0.3043
Epoch 5: pi_loss 0.8723, v_loss 0.2980
Epoch 6: pi_loss 0.8554, v_loss 0.2927
Epoch 7: pi_loss 0.8419, v_loss 0.2903
Epoch 8: pi_loss 0.8306, v_loss 0.2877
Epoch 9: pi_loss 0.8228, v_loss 0.2856
Epoch 10: pi_loss 0.8159, v_loss 0.2839
Epoch 1: pi_loss 1.2358, v_loss 0.4928
Epoch 2: pi_loss 1.0586, v_loss 0.3690
Epoch 3: pi_loss 0.9622, v_loss 0.3339
Epoch 4: pi_loss 0.9071, v_loss 0.3207
Epoch 5: pi_loss 0.8742, v_loss 0.3126
Epoch 6: pi_loss 0.8520, v_loss 0.3067
Epoch 7: pi_loss 0.8377, v_loss 0.3038
Epoch 8: pi_loss 0.8247, v_loss 0.3005
Epoch 9: pi_loss 0.8145, v_loss 0.2978
Epoch 10: pi_loss 0.8060, v_loss 0.2961
Epoch 1: pi_loss 0.9129, v_loss 0.3434
Epoch 2: pi_loss 0.8353, v_loss 0.3091
Epoch 3: pi_loss 0.8108, v_loss 0.3000
Epoch 4: pi_loss 0.7976, v_loss 0.2962
Epoch 5: pi_loss 0.7876, v_loss 0.2933
Epoch 6: pi_loss 0.7797, v_loss 0.2919
Epoch 7: pi_loss 0.7736, v_loss 0.2899
Epoch 8: pi_loss 0.7686, v_loss 0.2891
Epoch 9: pi_loss 0.7638, v_loss 0.2885
Epoch 10: pi_loss 0.7594, v_loss 0.2869
Epoch 1: pi_loss 0.8613, v_loss 0.3407
Epoch 2: pi_loss 0.7941, v_loss 0.3047
Epoch 3: pi_loss 0.7735, v_loss 0.2958
Epoch 4: pi_loss 0.7624, v_loss 0.2921
Epoch 5: pi_loss 0.7546, v_loss 0.2901
Epoch 6: pi_loss 0.7489, v_loss 0.2881
Epoch 7: pi_loss 0.7446, v_loss 0.2871
Epoch 8: pi_loss 0.7400, v_loss 0.2859
Epoch 9: pi_loss 0.7367, v_loss 0.2851
Epoch 10: pi_loss 0.7334, v_loss 0.2841
Epoch 1: pi_loss 0.8284, v_loss 0.3300
Epoch 2: pi_loss 0.7668, v_loss 0.2992
Epoch 3: pi_loss 0.7476, v_loss 0.2911
Epoch 4: pi_loss 0.7390, v_loss 0.2879
Epoch 5: pi_loss 0.7330, v_loss 0.2859
Epoch 6: pi_loss 0.7280, v_loss 0.2849
Epoch 7: pi_loss 0.7242, v_loss 0.2839
Epoch 8: pi_loss 0.7214, v_loss 0.2833
Epoch 9: pi_loss 0.7179, v_loss 0.2821
Epoch 10: pi_loss 0.7160, v_loss 0.2818
Epoch 1: pi_loss 0.8115, v_loss 0.3302
Epoch 2: pi_loss 0.7543, v_loss 0.2975
Epoch 3: pi_loss 0.7347, v_loss 0.2889
Epoch 4: pi_loss 0.7249, v_loss 0.2851
Epoch 5: pi_loss 0.7189, v_loss 0.2822
Epoch 6: pi_loss 0.7145, v_loss 0.2819
Epoch 7: pi_loss 0.7111, v_loss 0.2807
Epoch 8: pi_loss 0.7086, v_loss 0.2798
Epoch 9: pi_loss 0.7060, v_loss 0.2795
Epoch 10: pi_loss 0.7034, v_loss 0.2788
Epoch 1: pi_loss 0.8809, v_loss 0.3661
Epoch 2: pi_loss 0.7933, v_loss 0.3120
Epoch 3: pi_loss 0.7563, v_loss 0.2979
Epoch 4: pi_loss 0.7394, v_loss 0.2924
Epoch 5: pi_loss 0.7296, v_loss 0.2890
Epoch 6: pi_loss 0.7228, v_loss 0.2870
Epoch 7: pi_loss 0.7176, v_loss 0.2852
Epoch 8: pi_loss 0.7136, v_loss 0.2838
Epoch 9: pi_loss 0.7100, v_loss 0.2826
Epoch 10: pi_loss 0.7071, v_loss 0.2821
Epoch 1: pi_loss 0.7788, v_loss 0.3158
Epoch 2: pi_loss 0.7296, v_loss 0.2946
Epoch 3: pi_loss 0.7140, v_loss 0.2878
Epoch 4: pi_loss 0.7060, v_loss 0.2850
Epoch 5: pi_loss 0.7011, v_loss 0.2837
Epoch 6: pi_loss 0.6972, v_loss 0.2819
Epoch 7: pi_loss 0.6942, v_loss 0.2813
Epoch 8: pi_loss 0.6912, v_loss 0.2808
Epoch 9: pi_loss 0.6896, v_loss 0.2799
Epoch 10: pi_loss 0.6873, v_loss 0.2795
Epoch 1: pi_loss 0.8319, v_loss 0.3515
Epoch 2: pi_loss 0.7557, v_loss 0.3107
Epoch 3: pi_loss 0.7262, v_loss 0.2999
Epoch 4: pi_loss 0.7123, v_loss 0.2951
Epoch 5: pi_loss 0.7050, v_loss 0.2926
Epoch 6: pi_loss 0.6994, v_loss 0.2907
Epoch 7: pi_loss 0.6949, v_loss 0.2895
Epoch 8: pi_loss 0.6917, v_loss 0.2888
Epoch 9: pi_loss 0.6885, v_loss 0.2875
Epoch 10: pi_loss 0.6860, v_loss 0.2868
Epoch 1: pi_loss 0.8768, v_loss 0.3761
Epoch 2: pi_loss 0.7806, v_loss 0.3218
Epoch 3: pi_loss 0.7391, v_loss 0.3082
Epoch 4: pi_loss 0.7200, v_loss 0.3022
Epoch 5: pi_loss 0.7092, v_loss 0.2987
Epoch 6: pi_loss 0.7022, v_loss 0.2965
Epoch 7: pi_loss 0.6963, v_loss 0.2948
Epoch 8: pi_loss 0.6921, v_loss 0.2932
Epoch 9: pi_loss 0.6881, v_loss 0.2922
Epoch 10: pi_loss 0.6857, v_loss 0.2906
Epoch 1: pi_loss 0.7437, v_loss 0.3219
Epoch 2: pi_loss 0.7032, v_loss 0.3024
Epoch 3: pi_loss 0.6905, v_loss 0.2968
Epoch 4: pi_loss 0.6836, v_loss 0.2940
Epoch 5: pi_loss 0.6791, v_loss 0.2926
Epoch 6: pi_loss 0.6758, v_loss 0.2917
Epoch 7: pi_loss 0.6725, v_loss 0.2906
Epoch 8: pi_loss 0.6699, v_loss 0.2899
Epoch 9: pi_loss 0.6676, v_loss 0.2889
Epoch 10: pi_loss 0.6654, v_loss 0.2882
Epoch 1: pi_loss 0.7158, v_loss 0.3638
Epoch 2: pi_loss 0.6481, v_loss 0.3267
Epoch 3: pi_loss 0.6221, v_loss 0.3166
Epoch 4: pi_loss 0.6107, v_loss 0.3121
Epoch 5: pi_loss 0.6038, v_loss 0.3095
Epoch 6: pi_loss 0.5990, v_loss 0.3078
Epoch 7: pi_loss 0.5951, v_loss 0.3064
Epoch 8: pi_loss 0.5915, v_loss 0.3050
Epoch 9: pi_loss 0.5891, v_loss 0.3045
Epoch 10: pi_loss 0.5864, v_loss 0.3033
Epoch 1: pi_loss 0.6579, v_loss 0.3363
Epoch 2: pi_loss 0.6122, v_loss 0.3144
Epoch 3: pi_loss 0.5963, v_loss 0.3081
Epoch 4: pi_loss 0.5892, v_loss 0.3053
Epoch 5: pi_loss 0.5855, v_loss 0.3033
Epoch 6: pi_loss 0.5816, v_loss 0.3024
Epoch 7: pi_loss 0.5790, v_loss 0.3013
Epoch 8: pi_loss 0.5768, v_loss 0.3013
Epoch 9: pi_loss 0.5749, v_loss 0.2999
Epoch 10: pi_loss 0.5731, v_loss 0.2994
Epoch 1: pi_loss 0.7142, v_loss 0.3709
Epoch 2: pi_loss 0.6390, v_loss 0.3298
Epoch 3: pi_loss 0.6090, v_loss 0.3183
Epoch 4: pi_loss 0.5959, v_loss 0.3130
Epoch 5: pi_loss 0.5889, v_loss 0.3106
Epoch 6: pi_loss 0.5835, v_loss 0.3092
Epoch 7: pi_loss 0.5795, v_loss 0.3077
Epoch 8: pi_loss 0.5766, v_loss 0.3065
Epoch 9: pi_loss 0.5739, v_loss 0.3063
Epoch 10: pi_loss 0.5715, v_loss 0.3048
Epoch 1: pi_loss 0.6403, v_loss 0.3371
Epoch 2: pi_loss 0.5972, v_loss 0.3154
Epoch 3: pi_loss 0.5829, v_loss 0.3093
Epoch 4: pi_loss 0.5757, v_loss 0.3060
Epoch 5: pi_loss 0.5717, v_loss 0.3041
Epoch 6: pi_loss 0.5684, v_loss 0.3030
Epoch 7: pi_loss 0.5661, v_loss 0.3021
Epoch 8: pi_loss 0.5637, v_loss 0.3011
Epoch 9: pi_loss 0.5617, v_loss 0.3000
Epoch 10: pi_loss 0.5599, v_loss 0.2993
Epoch 1: pi_loss 0.6999, v_loss 0.3723
Epoch 2: pi_loss 0.6295, v_loss 0.3302
Epoch 3: pi_loss 0.6012, v_loss 0.3191
Epoch 4: pi_loss 0.5887, v_loss 0.3138
Epoch 5: pi_loss 0.5811, v_loss 0.3104
Epoch 6: pi_loss 0.5768, v_loss 0.3091
Epoch 7: pi_loss 0.5728, v_loss 0.3073
Epoch 8: pi_loss 0.5695, v_loss 0.3061
Epoch 9: pi_loss 0.5671, v_loss 0.3054
Epoch 10: pi_loss 0.5647, v_loss 0.3046
Epoch 1: pi_loss 0.6241, v_loss 0.3371
Epoch 2: pi_loss 0.5840, v_loss 0.3186
Epoch 3: pi_loss 0.5705, v_loss 0.3130
Epoch 4: pi_loss 0.5644, v_loss 0.3101
Epoch 5: pi_loss 0.5609, v_loss 0.3085
Epoch 6: pi_loss 0.5581, v_loss 0.3074
Epoch 7: pi_loss 0.5559, v_loss 0.3066
Epoch 8: pi_loss 0.5538, v_loss 0.3061
Epoch 9: pi_loss 0.5516, v_loss 0.3053
Epoch 10: pi_loss 0.5505, v_loss 0.3044
Epoch 1: pi_loss 0.6799, v_loss 0.3692
Epoch 2: pi_loss 0.6138, v_loss 0.3329
Epoch 3: pi_loss 0.5882, v_loss 0.3219
Epoch 4: pi_loss 0.5770, v_loss 0.3169
Epoch 5: pi_loss 0.5700, v_loss 0.3141
Epoch 6: pi_loss 0.5664, v_loss 0.3124
Epoch 7: pi_loss 0.5627, v_loss 0.3107
Epoch 8: pi_loss 0.5601, v_loss 0.3094
Epoch 9: pi_loss 0.5577, v_loss 0.3089
Epoch 10: pi_loss 0.5551, v_loss 0.3077
Epoch 1: pi_loss 0.7346, v_loss 0.4008
Epoch 2: pi_loss 0.6449, v_loss 0.3471
Epoch 3: pi_loss 0.6063, v_loss 0.3306
Epoch 4: pi_loss 0.5889, v_loss 0.3229
Epoch 5: pi_loss 0.5797, v_loss 0.3192
Epoch 6: pi_loss 0.5736, v_loss 0.3165
Epoch 7: pi_loss 0.5687, v_loss 0.3144
Epoch 8: pi_loss 0.5658, v_loss 0.3131
Epoch 9: pi_loss 0.5632, v_loss 0.3118
Epoch 10: pi_loss 0.5600, v_loss 0.3112
Epoch 1: pi_loss 0.7854, v_loss 0.4278
Epoch 2: pi_loss 0.6770, v_loss 0.3580
Epoch 3: pi_loss 0.6258, v_loss 0.3365
Epoch 4: pi_loss 0.6016, v_loss 0.3284
Epoch 5: pi_loss 0.5893, v_loss 0.3231
Epoch 6: pi_loss 0.5814, v_loss 0.3204
Epoch 7: pi_loss 0.5754, v_loss 0.3177
Epoch 8: pi_loss 0.5714, v_loss 0.3161
Epoch 9: pi_loss 0.5676, v_loss 0.3145
Epoch 10: pi_loss 0.5646, v_loss 0.3131
Epoch 1: pi_loss 0.6270, v_loss 0.3434
Epoch 2: pi_loss 0.5857, v_loss 0.3241
Epoch 3: pi_loss 0.5721, v_loss 0.3183
Epoch 4: pi_loss 0.5656, v_loss 0.3150
Epoch 5: pi_loss 0.5611, v_loss 0.3140
Epoch 6: pi_loss 0.5580, v_loss 0.3126
Epoch 7: pi_loss 0.5550, v_loss 0.3116
Epoch 8: pi_loss 0.5530, v_loss 0.3108
Epoch 9: pi_loss 0.5510, v_loss 0.3101
Epoch 10: pi_loss 0.5491, v_loss 0.3093
Epoch 1: pi_loss 0.6768, v_loss 0.3741
Epoch 2: pi_loss 0.6083, v_loss 0.3397
Epoch 3: pi_loss 0.5818, v_loss 0.3292
Epoch 4: pi_loss 0.5706, v_loss 0.3248
Epoch 5: pi_loss 0.5639, v_loss 0.3222
Epoch 6: pi_loss 0.5591, v_loss 0.3201
Epoch 7: pi_loss 0.5560, v_loss 0.3192
Epoch 8: pi_loss 0.5524, v_loss 0.3178
Epoch 9: pi_loss 0.5504, v_loss 0.3165
Epoch 10: pi_loss 0.5477, v_loss 0.3155
Epoch 1: pi_loss 0.6146, v_loss 0.3469
Epoch 2: pi_loss 0.5719, v_loss 0.3272
Epoch 3: pi_loss 0.5582, v_loss 0.3209
Epoch 4: pi_loss 0.5517, v_loss 0.3176
Epoch 5: pi_loss 0.5479, v_loss 0.3166
Epoch 6: pi_loss 0.5444, v_loss 0.3152
Epoch 7: pi_loss 0.5426, v_loss 0.3142
Epoch 8: pi_loss 0.5404, v_loss 0.3134
Epoch 9: pi_loss 0.5388, v_loss 0.3129
Epoch 10: pi_loss 0.5372, v_loss 0.3120
Epoch 1: pi_loss 0.6746, v_loss 0.3776
Epoch 2: pi_loss 0.6028, v_loss 0.3410
Epoch 3: pi_loss 0.5739, v_loss 0.3293
Epoch 4: pi_loss 0.5608, v_loss 0.3243
Epoch 5: pi_loss 0.5544, v_loss 0.3212
Epoch 6: pi_loss 0.5493, v_loss 0.3193
Epoch 7: pi_loss 0.5464, v_loss 0.3179
Epoch 8: pi_loss 0.5435, v_loss 0.3168
Epoch 9: pi_loss 0.5412, v_loss 0.3162
Epoch 10: pi_loss 0.5387, v_loss 0.3148
Epoch 1: pi_loss 0.7287, v_loss 0.4089
Epoch 2: pi_loss 0.6325, v_loss 0.3554
Epoch 3: pi_loss 0.5897, v_loss 0.3388
Epoch 4: pi_loss 0.5710, v_loss 0.3313
Epoch 5: pi_loss 0.5609, v_loss 0.3281
Epoch 6: pi_loss 0.5549, v_loss 0.3253
Epoch 7: pi_loss 0.5498, v_loss 0.3228
Epoch 8: pi_loss 0.5463, v_loss 0.3216
Epoch 9: pi_loss 0.5429, v_loss 0.3201
Epoch 10: pi_loss 0.5406, v_loss 0.3191
Epoch 1: pi_loss 0.5943, v_loss 0.3511
Epoch 2: pi_loss 0.5558, v_loss 0.3343
Epoch 3: pi_loss 0.5437, v_loss 0.3278
Epoch 4: pi_loss 0.5377, v_loss 0.3254
Epoch 5: pi_loss 0.5342, v_loss 0.3237
Epoch 6: pi_loss 0.5307, v_loss 0.3221
Epoch 7: pi_loss 0.5289, v_loss 0.3217
Epoch 8: pi_loss 0.5271, v_loss 0.3206
Epoch 9: pi_loss 0.5249, v_loss 0.3199
Epoch 10: pi_loss 0.5231, v_loss 0.3191
Epoch 1: pi_loss 0.6480, v_loss 0.3836
Epoch 2: pi_loss 0.5831, v_loss 0.3493
Epoch 3: pi_loss 0.5586, v_loss 0.3379
Epoch 4: pi_loss 0.5476, v_loss 0.3327
Epoch 5: pi_loss 0.5407, v_loss 0.3300
Epoch 6: pi_loss 0.5370, v_loss 0.3278
Epoch 7: pi_loss 0.5333, v_loss 0.3263
Epoch 8: pi_loss 0.5311, v_loss 0.3252
Epoch 9: pi_loss 0.5286, v_loss 0.3241
Epoch 10: pi_loss 0.5266, v_loss 0.3231
Epoch 1: pi_loss 0.6962, v_loss 0.4140
Epoch 2: pi_loss 0.6104, v_loss 0.3619
Epoch 3: pi_loss 0.5726, v_loss 0.3456
Epoch 4: pi_loss 0.5563, v_loss 0.3391
Epoch 5: pi_loss 0.5477, v_loss 0.3346
