Epoch 1: pi_loss 3.9282, v_loss 1.0262
Epoch 2: pi_loss 3.5031, v_loss 0.9704
Epoch 3: pi_loss 3.0270, v_loss 0.8733
Epoch 4: pi_loss 2.7760, v_loss 0.7666
Epoch 5: pi_loss 2.6155, v_loss 0.6588
Epoch 6: pi_loss 2.4835, v_loss 0.5466
Epoch 7: pi_loss 2.3649, v_loss 0.4473
Epoch 8: pi_loss 2.2444, v_loss 0.3669
Epoch 9: pi_loss 2.1211, v_loss 0.3089
Epoch 10: pi_loss 1.9947, v_loss 0.2612
Epoch 1: pi_loss 2.1897, v_loss 0.5623
Epoch 2: pi_loss 2.0181, v_loss 0.3801
Epoch 3: pi_loss 1.8628, v_loss 0.2978
Epoch 4: pi_loss 1.6997, v_loss 0.2478
Epoch 5: pi_loss 1.5326, v_loss 0.2218
Epoch 6: pi_loss 1.3779, v_loss 0.2009
Epoch 7: pi_loss 1.2461, v_loss 0.1865
Epoch 8: pi_loss 1.1487, v_loss 0.1730
Epoch 9: pi_loss 1.0694, v_loss 0.1678
Epoch 10: pi_loss 1.0084, v_loss 0.1624
Epoch 1: pi_loss 2.2385, v_loss 0.6764
Epoch 2: pi_loss 2.0639, v_loss 0.4684
Epoch 3: pi_loss 1.9159, v_loss 0.3527
Epoch 4: pi_loss 1.7670, v_loss 0.2871
Epoch 5: pi_loss 1.6072, v_loss 0.2472
Epoch 6: pi_loss 1.4445, v_loss 0.2213
Epoch 7: pi_loss 1.2940, v_loss 0.2065
Epoch 8: pi_loss 1.1709, v_loss 0.1928
Epoch 9: pi_loss 1.0742, v_loss 0.1837
Epoch 10: pi_loss 1.0046, v_loss 0.1764
Epoch 1: pi_loss 2.2452, v_loss 0.7465
Epoch 2: pi_loss 2.0657, v_loss 0.5350
Epoch 3: pi_loss 1.9276, v_loss 0.3957
Epoch 4: pi_loss 1.7911, v_loss 0.3142
Epoch 5: pi_loss 1.6433, v_loss 0.2702
Epoch 6: pi_loss 1.4914, v_loss 0.2376
Epoch 7: pi_loss 1.3371, v_loss 0.2167
Epoch 8: pi_loss 1.2015, v_loss 0.2026
Epoch 9: pi_loss 1.0955, v_loss 0.1903
Epoch 10: pi_loss 1.0143, v_loss 0.1827
Epoch 1: pi_loss 1.2990, v_loss 0.3135
Epoch 2: pi_loss 1.1110, v_loss 0.2259
Epoch 3: pi_loss 0.9888, v_loss 0.2009
Epoch 4: pi_loss 0.9107, v_loss 0.1877
Epoch 5: pi_loss 0.8611, v_loss 0.1797
Epoch 6: pi_loss 0.8199, v_loss 0.1726
