numIters 0: nwins 30, rate 0.7500, train 47848
numIters 1: nwins 23, rate 0.5750, train 96152
numIters 2: nwins 30, rate 0.7500, train 144552
numIters 3: nwins 25, rate 0.6250, train 192960
numIters 4: nwins 25, rate 0.6250, train 241368
numIters 5: nwins 26, rate 0.6500, train 289656
numIters 6: nwins 23, rate 0.5750, train 338088
numIters 7: nwins 20, rate 0.5000, train 386720
numIters 8: nwins 15, rate 0.3750, train 435120
numIters 9: nwins 31, rate 0.7750, train 483632
numIters 10: nwins 29, rate 0.7250, train 532072
numIters 11: nwins 25, rate 0.6250, train 580432
numIters 12: nwins 32, rate 0.8000, train 628936
numIters 13: nwins 20, rate 0.5000, train 677440
numIters 14: nwins 27, rate 0.6750, train 725984
numIters 15: nwins 22, rate 0.5500, train 774160
numIters 16: nwins 22, rate 0.5500, train 822688
numIters 17: nwins 25, rate 0.6250, train 871280
numIters 18: nwins 15, rate 0.3750, train 919760
numIters 19: nwins 25, rate 0.6250, train 920392
numIters 20: nwins 19, rate 0.4750, train 920592
numIters 21: nwins 32, rate 0.8000, train 920648
numIters 22: nwins 19, rate 0.4750, train 920712
numIters 23: nwins 25, rate 0.6250, train 920880
numIters 24: nwins 20, rate 0.5000, train 921048
numIters 25: nwins 18, rate 0.4500, train 921056
numIters 26: nwins 17, rate 0.4250, train 920984
numIters 27: nwins 30, rate 0.7500, train 921080
numIters 28: nwins 19, rate 0.4750, train 921176
numIters 29: nwins 29, rate 0.7250, train 921304
numIters 30: nwins 19, rate 0.4750, train 921456
numIters 31: nwins 19, rate 0.4750, train 921600
numIters 32: nwins 28, rate 0.7000, train 921480
numIters 33: nwins 10, rate 0.2500, train 921400
numIters 34: nwins 17, rate 0.4250, train 921728
numIters 35: nwins 26, rate 0.6500, train 921632
numIters 36: nwins 23, rate 0.5750, train 921600
numIters 37: nwins 17, rate 0.4250, train 921648
numIters 38: nwins 19, rate 0.4750, train 921704
numIters 39: nwins 17, rate 0.4250, train 921616
numIters 40: nwins 26, rate 0.6500, train 921672
numIters 41: nwins 22, rate 0.5500, train 921824
numIters 42: nwins 23, rate 0.5750, train 921776
numIters 43: nwins 20, rate 0.5000, train 921896
numIters 44: nwins 20, rate 0.5000, train 921976
numIters 45: nwins 27, rate 0.6750, train 921976
numIters 46: nwins 29, rate 0.7250, train 921960
numIters 47: nwins 19, rate 0.4750, train 921984
numIters 48: nwins 21, rate 0.5250, train 921968
