numIters 0: nwins 29, rate 0.7250, train 48240
numIters 1: nwins 22, rate 0.5500, train 96600
numIters 2: nwins 21, rate 0.5250, train 145000
numIters 3: nwins 29, rate 0.7250, train 193400
numIters 4: nwins 26, rate 0.6500, train 241688
numIters 5: nwins 24, rate 0.6000, train 290168
numIters 6: nwins 19, rate 0.4750, train 338568
numIters 7: nwins 20, rate 0.5000, train 386920
numIters 8: nwins 31, rate 0.7750, train 435248
numIters 9: nwins 23, rate 0.5750, train 483688
numIters 10: nwins 26, rate 0.6500, train 532096
numIters 11: nwins 26, rate 0.6500, train 580616
numIters 12: nwins 13, rate 0.3250, train 629016
numIters 13: nwins 22, rate 0.5500, train 677440
numIters 14: nwins 26, rate 0.6500, train 725904
numIters 15: nwins 23, rate 0.5750, train 774424
numIters 16: nwins 31, rate 0.7750, train 822776
numIters 17: nwins 32, rate 0.8000, train 871224
numIters 18: nwins 22, rate 0.5500, train 919640
numIters 19: nwins 18, rate 0.4500, train 919792
numIters 20: nwins 22, rate 0.5500, train 919976
numIters 21: nwins 24, rate 0.6000, train 920008
numIters 22: nwins 17, rate 0.4250, train 920112
numIters 23: nwins 20, rate 0.5000, train 920216
numIters 24: nwins 21, rate 0.5250, train 920184
numIters 25: nwins 29, rate 0.7250, train 920216
numIters 26: nwins 11, rate 0.2750, train 920232
numIters 27: nwins 22, rate 0.5500, train 920408
numIters 28: nwins 16, rate 0.4000, train 920408
numIters 0: nwins 32, rate 0.8000, train 48384
numIters 1: nwins 27, rate 0.6750, train 96776
numIters 2: nwins 27, rate 0.6750, train 145176
numIters 3: nwins 24, rate 0.6000, train 193536
numIters 4: nwins 27, rate 0.6750, train 241944
numIters 5: nwins 20, rate 0.5000, train 290336
numIters 6: nwins 19, rate 0.4750, train 338680
numIters 7: nwins 30, rate 0.7500, train 387120
numIters 8: nwins 21, rate 0.5250, train 435560
numIters 9: nwins 28, rate 0.7000, train 483984
numIters 10: nwins 19, rate 0.4750, train 532504
numIters 11: nwins 20, rate 0.5000, train 580560
numIters 12: nwins 24, rate 0.6000, train 628984
numIters 13: nwins 19, rate 0.4750, train 677400
numIters 14: nwins 21, rate 0.5250, train 725816
numIters 15: nwins 19, rate 0.4750, train 774264
numIters 16: nwins 28, rate 0.7000, train 822656
numIters 17: nwins 25, rate 0.6250, train 871016
numIters 18: nwins 21, rate 0.5250, train 919512
numIters 19: nwins 19, rate 0.4750, train 919648
numIters 20: nwins 18, rate 0.4500, train 919664
numIters 21: nwins 27, rate 0.6750, train 919728
numIters 22: nwins 22, rate 0.5500, train 919856
numIters 23: nwins 27, rate 0.6750, train 919816
numIters 24: nwins 21, rate 0.5250, train 919848
numIters 25: nwins 29, rate 0.7250, train 920016
numIters 26: nwins 20, rate 0.5000, train 919960
numIters 27: nwins 24, rate 0.6000, train 920024
numIters 28: nwins 19, rate 0.4750, train 920056
numIters 29: nwins 21, rate 0.5250, train 920080
numIters 30: nwins 24, rate 0.6000, train 920544
numIters 31: nwins 22, rate 0.5500, train 920648
numIters 32: nwins 29, rate 0.7250, train 920568
numIters 33: nwins 21, rate 0.5250, train 920592
numIters 34: nwins 24, rate 0.6000, train 920552
numIters 35: nwins 17, rate 0.4250, train 920624
numIters 36: nwins 20, rate 0.5000, train 920784
numIters 37: nwins 15, rate 0.3750, train 920760
numIters 38: nwins 25, rate 0.6250, train 920752
numIters 39: nwins 21, rate 0.5250, train 920856
